Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),66668.39999997616,I,z,1312,1,,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10127.399999976158,56541.0,8069,yes,SM,C,66.bmp,-120,-120,60311,54282,62327,56295,,,,,1
3,0,0,1,0,2,prac,1,1,m,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),76981.5,I,m,1494,2,,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10307.699999988079,66673.80000001192,8069,no,SM,C,73.bmp,-120,120,70441,64415,72457,66425,,,,,2
4,0,0,0,1,3,prac,1,1,m,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),86761.89999997616,I,m,957,3,,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,9776.799999952316,76985.10000002384,8069,no,SM,C,74.bmp,120,120,80754,74726,82770,76739,,,,,3
2,0,1,0,0,3,prac,1,0,z,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),97591.89999997616,I,None,2015,4,,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10826.699999988079,86765.19999998808,8069,yes,SM,C,79.bmp,120,-120,90534,84506,92551,86519,,,,,4
3,0,0,1,0,4,prac,1,1,z,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),107738.69999998808,I,z,1322,5,,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,10143.099999964237,97595.60000002384,8069,yes,SM,C,84.bmp,-120,120,101365,95337,103380,97349,,,,,5
1,1,0,0,0,5,prac,1,1,m,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),117836.30000001192,I,m,1280,6,,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10093.600000023842,107742.69999998808,8069,no,SM,C,89.bmp,-120,-120,111511,105484,113527,107496,,,,,6
2,0,1,0,0,6,prac,1,1,m,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),128115.69999998808,I,m,1463,7,,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10275.0,117840.69999998808,8069,no,SM,C,90.bmp,120,-120,121608,115582,123624,117593,,,,,7
4,0,0,0,1,6,prac,1,0,z,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),138429.10000002384,I,m,1511,8,,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10309.900000035763,128119.19999998808,8069,yes,SM,C,97.bmp,120,120,131871,125861,133888,127868,,,,,8
4,0,0,0,1,0,test,1,0,m,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),151642.19999998808,I,z,1617,1,,98.bmp,-120,-120,99.bmp,120,-120,100.bmp,-120,120,93.bmp,120,120,9661.5,141980.69999998808,8069,yes,SM,C,100.bmp,120,120,131871,125861,133888,127868,145751.0,139722.0,147766.0,141735.0,1
2,0,1,0,0,1,test,1,1,m,Thu May 07 2026 16:34:19 GMT-0500 (Central Daylight Time),160655.60000002384,I,m,944,2,,51.bmp,-120,-120,52.bmp,120,-120,53.bmp,-120,120,54.bmp,120,120,9010.0,151645.60000002384,8069,yes,SM,C,53.bmp,120,-120,131871,125861,133888,127868,155431.0,149387.0,157447.0,151427.0,2
